"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.894498510E-1,8.858165890E-2,1.244931296E-1,9.863686562E0,9.864869884E0
3.918465180E-1,8.858165890E-2,1.316754371E-1,9.854109764E0,9.855387581E0
3.942439660E-1,7.900525630E-2,1.292813420E-1,9.851716042E0,9.852881023E0
3.966409970E-1,7.182296365E-2,1.316754371E-1,9.861292839E0,9.862433443E0
3.990374560E-1,8.139935881E-2,1.388577372E-1,9.873263359E0,9.874575266E0
4.014341740E-1,8.618755639E-2,1.292813420E-1,9.868474960E0,9.869698071E0
4.038311010E-1,8.618755639E-2,1.220990419E-1,9.863686562E0,9.864818754E0
4.062283930E-1,8.858165890E-2,1.292813420E-1,9.873263359E0,9.874507063E0
4.086252160E-1,9.097574651E-2,1.388577372E-1,9.868474960E0,9.869871129E0
4.110216220E-1,9.336984903E-2,1.220990419E-1,9.873263359E0,9.874459755E0
4.134190180E-1,9.336984903E-2,1.173108369E-1,9.866081238E0,9.867220417E0
4.158161010E-1,9.336984903E-2,1.268872321E-1,9.863686562E0,9.864944545E0
4.182126640E-1,8.139935881E-2,1.268872321E-1,9.870868683E0,9.872019792E0
4.206094350E-1,8.139935881E-2,1.220990419E-1,9.861292839E0,9.862384625E0
4.230062060E-1,8.618755639E-2,1.292813420E-1,9.856505394E0,9.857729989E0
4.254032890E-1,8.139935881E-2,1.412518322E-1,9.854109764E0,9.855458243E0
4.278002160E-1,8.379345387E-2,1.364636272E-1,9.858899117E0,9.860199565E0
4.301969350E-1,8.618755639E-2,1.197049394E-1,9.856505394E0,9.857609048E0
4.325941220E-1,8.379345387E-2,1.173108369E-1,9.861292839E0,9.862346558E0
4.349908410E-1,7.661115378E-2,1.316754371E-1,9.870868683E0,9.872044178E0
4.373875600E-1,7.900525630E-2,1.316754371E-1,9.868474960E0,9.869669614E0
4.397847470E-1,9.097574651E-2,1.197049394E-1,9.870868683E0,9.872013696E0
4.421819350E-1,8.858165890E-2,1.244931296E-1,9.870868683E0,9.872051145E0
4.445799040E-1,8.139935881E-2,1.340695322E-1,9.861292839E0,9.862540086E0
4.469772470E-1,8.139935881E-2,1.340695322E-1,9.858899117E0,9.860146666E0
4.493735490E-1,8.379345387E-2,1.316754371E-1,9.861292839E0,9.862527882E0
4.517707890E-1,8.379345387E-2,1.268872321E-1,9.861292839E0,9.862465116E0
4.541675600E-1,8.379345387E-2,1.268872321E-1,9.861292839E0,9.862465116E0
4.565637580E-1,8.379345387E-2,1.173108369E-1,9.863686562E0,9.864740025E0
4.589603720E-1,8.379345387E-2,1.101285368E-1,9.861292839E0,9.862263741E0
4.613568830E-1,8.379345387E-2,1.173108369E-1,9.861292839E0,9.862346558E0
