"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.208382207E0,-2.011656761E-7,3.585413098E-3,-1.726627350E-2,1.763460767E-2
1.213153145E0,4.746872932E-3,-3.581628203E-3,-1.237392426E-2,1.372861481E-2
1.217923353E0,7.080234587E-3,1.181766391E-3,-5.147933960E-3,8.833318610E-3
1.222694290E0,2.300143242E-3,5.905494094E-3,-3.576278687E-4,6.347709596E-3
1.227466061E0,-9.528174996E-5,3.467723727E-3,-3.547668457E-4,3.487125747E-3
1.232236999E0,4.652585834E-3,-3.698334098E-3,-7.474899292E-3,9.549782692E-3
1.237007207E0,1.176389679E-2,-3.653973341E-3,-2.663612366E-3,1.260300043E-2
1.241778145E0,4.542194307E-3,-1.235693693E-3,6.855010986E-3,8.315626474E-3
1.246549915E0,4.531994462E-3,3.479570150E-3,4.425048828E-3,7.226855427E-3
1.251320853E0,9.241301566E-3,8.212566376E-3,-9.857177734E-3,1.581176315E-2
1.256091061E0,4.414323717E-3,-1.338601112E-3,-7.401466370E-3,8.721227622E-3
1.260861999E0,-4.008598626E-4,-6.090283394E-3,-9.713172913E-3,1.147161577E-2
1.265633717E0,6.695263088E-3,1.068159938E-3,-1.912784576E-2,2.029389063E-2
1.270404707E0,1.373226196E-2,3.447115421E-3,-7.098197937E-3,1.583799347E-2
1.275174863E0,4.120443016E-3,8.180215955E-3,8.392333984E-5,9.159750370E-3
1.279945853E0,-6.638579071E-4,1.047164202E-2,-7.040023804E-3,1.263558186E-2
1.284717572E0,4.116743803E-3,7.995650172E-3,-1.172924042E-2,1.478015839E-2
1.289488561E0,6.454914808E-3,8.204281330E-4,-2.134323120E-3,6.847945873E-3
1.294258717E0,1.651164144E-3,-3.892406821E-3,2.565383911E-4,4.235916175E-3
1.299029707E0,-7.379725575E-4,-1.500576735E-3,2.629280090E-3,3.115998688E-3
1.303801426E0,1.613106579E-3,3.273770213E-3,-2.140998840E-3,4.231259892E-3
1.308572363E0,1.598875970E-3,8.574277163E-4,-9.246826172E-3,9.423130101E-3
1.313342572E0,1.584324986E-3,-3.912717104E-3,-9.169578552E-3,1.009458328E-2
1.318113509E0,3.916051239E-3,-8.643314242E-3,-4.343986511E-3,1.043611792E-2
1.322885280E0,3.825321794E-3,-6.183430552E-3,-6.683349609E-3,9.875984114E-3
1.327656217E0,-3.387965262E-3,1.004531980E-3,-1.612377167E-2,1.650646558E-2
1.332426426E0,-5.735106766E-3,9.814351797E-4,-8.867263794E-3,1.060580180E-2
1.337197363E0,-3.343258053E-3,5.706995726E-3,-4.043579102E-3,7.752271059E-3
1.341969134E0,-8.036926389E-3,3.327578306E-3,-8.760452271E-3,1.234546423E-2
1.346740072E0,-3.223322332E-3,-6.126001477E-3,-3.938674927E-3,7.964349385E-3
1.351510280E0,-7.666945457E-4,-3.658697009E-3,-1.532554626E-3,4.040124752E-3
1.356281217E0,-7.884413004E-3,-8.391082287E-3,-3.893852234E-3,1.215468287E-2
1.361052936E0,-7.547996938E-4,-5.961567163E-3,-3.860473633E-3,7.142356914E-3
1.365823926E0,8.746862411E-3,1.195803285E-3,-3.828048706E-3,9.622447944E-3
1.370594082E0,3.924444318E-3,1.171112061E-3,-6.172180176E-3,7.407332501E-3
1.375365072E0,3.890514374E-3,1.203477383E-3,-3.746032715E-3,5.533283022E-3
1.380136790E0,-9.203031659E-4,3.609895706E-3,-1.341819763E-3,3.959644580E-3
1.384907780E0,-5.662593991E-3,-1.154631376E-3,-1.330375671E-3,5.930265065E-3
1.389677936E0,-5.644615740E-3,3.588393331E-3,1.054763794E-3,6.771320418E-3
1.394448926E0,-5.627669394E-3,8.320644498E-3,-3.701210022E-3,1.070526708E-2
1.399220645E0,-3.207851201E-3,1.170992851E-3,-3.671646118E-3,5.014231627E-3
1.403991582E0,-3.153480589E-3,-5.947649479E-3,-1.076412201E-2,1.269587716E-2
1.408761790E0,1.591444016E-3,-5.912825465E-3,-1.067447662E-2,1.230604121E-2
1.413532780E0,3.951981664E-3,-5.850180984E-3,1.285552979E-3,7.176031150E-3
1.418304499E0,-7.952477783E-3,1.334518194E-3,-3.472328186E-3,8.779516201E-3
1.423075436E0,1.552741975E-3,-3.439769149E-3,-1.294040680E-2,1.347950843E-2
1.427845645E0,1.538574696E-3,-8.174136281E-3,-1.045799255E-2,1.336238468E-2
1.432616582E0,-5.597915500E-3,-3.315582871E-3,-1.037216187E-2,1.224383475E-2
1.437388353E0,-8.037611842E-4,-5.648568273E-3,-3.162384033E-3,6.523268226E-3
1.442159290E0,-3.172434866E-3,-5.616232753E-3,8.733749390E-3,1.085747631E-2
1.446929499E0,4.003204405E-3,1.538410783E-3,1.538276672E-3,4.556165972E-3
1.451700436E0,6.343200803E-3,1.510694623E-3,-1.272010803E-2,1.429403872E-2
1.456472207E0,3.914970905E-3,-8.907765150E-4,-7.865905762E-3,8.831361924E-3
1.461243145E0,1.534961164E-3,1.476213336E-3,-3.050804138E-3,3.720580261E-3
1.466013353E0,-3.198929131E-3,3.823339939E-3,-5.400657654E-3,7.349706046E-3
1.470784290E0,-1.029550657E-2,3.805011511E-3,-5.355834961E-3,1.221312966E-2
1.475556009E0,-7.147863507E-4,3.758728504E-3,-5.311012268E-3,6.545671150E-3
1.480326999E0,6.412386894E-3,1.338511705E-3,-2.891540527E-3,7.160399841E-3
1.485097155E0,-3.138422966E-3,-1.061677933E-3,-2.867698669E-3,4.381843722E-3
1.489868145E0,-7.890656590E-3,3.709331155E-3,-5.219459534E-3,1.016190715E-2
1.494639863E0,-7.854998112E-3,-3.458589315E-3,-5.175590515E-3,1.002245342E-2
